Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
Culture,2920.89,88.16,3009.05,2022-23,3944908.67,0.08
Culture,3114.25,285.4,3399.65,2023-24,4503097.45,0.08
Culture,3070.92,190.01,3260.93,2024-25,4820512.08,0.07
Culture,3168.51,192.45,3360.96,2025-26,5065345.04,0.07
Culture,3216.63,200.0,3416.63,2026-27,5347314.81,0.06
Defence,268274.42,91579.7,359854.12,2017-18,2146734.78,16.76
Defence,304800.85,99563.86,404364.71,2018-19,2442213.3,16.56
Defence,322761.99,108248.8,431010.79,2019-20,2786349.45,15.47
Defence,352823.0,118555.0,471378.0,2020-21,3042230.09,15.49
Defence,337961.49,140234.13,478195.62,2021-22,3483235.63,13.73
Defence,364746.55,160419.6,525166.15,2022-23,3944908.67,13.31
Defence,422162.85,171374.79,593537.64,2023-24,4503097.45,13.18
Defence,439700.0,182240.85,621940.85,2024-25,4820512.08,12.9
Defence,488822.65,192387.62,681210.27,2025-26,5065345.04,13.45
Defence,553668.56,231009.72,784678.28,2026-27,5347314.81,14.67
Development of NE Region,2084.45,598.0,2682.45,2017-18,2146734.78,0.12
Development of NE Region,2326.0,674.0,3000.0,2018-19,2442213.3,0.12
Development of NE Region,2292.8,707.2,3000.0,2019-20,2786349.45,0.11
Development of NE Region,2330.14,718.59,3048.73,2020-21,3042230.09,0.1
Development of NE Region,2031.51,626.49,2658.0,2021-22,3483235.63,0.08
Development of NE Region,2140.04,659.96,2800.0,2022-23,3944908.67,0.07
Development of NE Region,1798.75,4093.25,5892.0,2023-24,4503097.45,0.13
Development of NE Region,2040.68,3859.32,5900.0,2024-25,4820512.08,0.12
Development of NE Region,1882.76,4032.24,5915.0,2025-26,5065345.04,0.12
Development of NE Region,2247.7,4564.6,6812.3,2026-27,5347314.81,0.13
Drinking Water & Sanitation,20010.79,0.0,20010.79,2017-18,2146734.78,0.93
Drinking Water & Sanitation,22356.6,0.0,22356.6,2018-19,2442213.3,0.92
Earth Sciences,1604.48,115.0,1719.48,2017-18,2146734.78,0.08
Earth Sciences,1700.0,100.0,1800.0,2018-19,2442213.3,0.07
Earth Sciences,1760.76,141.0,1901.76,2019-20,2786349.45,0.07
Earth Sciences,1898.0,172.0,2070.0,2020-21,3042230.09,0.07
Earth Sciences,1734.13,163.0,1897.13,2021-22,3483235.63,0.05
Earth Sciences,2203.51,450.0,2653.51,2022-23,3944908.67,0.07
Earth Sciences,2646.07,673.81,3319.88,2023-24,4503097.45,0.07
Earth Sciences,2506.46,558.34,3064.8,2024-25,4820512.08,0.06
Earth Sciences,2770.78,879.03,3649.81,2025-26,5065345.04,0.07
Earth Sciences,3073.19,716.04,3789.23,2026-27,5347314.81,0.07
Education (HRD),79435.95,250.0,79685.95,2017-18,2146734.78,3.71
Education (HRD),82258.29,2752.0,85010.29,2018-19,2442213.3,3.48
Education (HRD),92733.64,2120.0,94853.64,2019-20,2786349.45,3.4
Education (HRD),97084.52,2227.0,99311.52,2020-21,3042230.09,3.26
Education (HRD),93198.81,25.5,93224.31,2021-22,3483235.63,2.68
Education (HRD),104259.71,18.01,104277.72,2022-23,3944908.67,2.64
Education (HRD),112886.4,13.07,112899.47,2023-24,4503097.45,2.51
Education (HRD),120616.05,11.82,120627.87,2024-25,4820512.08,2.5
Education (HRD),128638.98,11.07,128650.05,2025-26,5065345.04,2.54
Education (HRD),139285.95,3.53,139289.48,2026-27,5347314.81,2.6
Electronics & IT,3690.0,349.0,4039.0,2017-18,2146734.78,0.19
Electronics & IT,5675.0,325.0,6000.0,2018-19,2442213.3,0.25
Electronics & IT,6306.0,348.0,6654.0,2019-20,2786349.45,0.24
Electronics & IT,6524.03,375.0,6899.03,2020-21,3042230.09,0.23
Electronics & IT,9274.66,446.0,9720.66,2021-22,3483235.63,0.28
Electronics & IT,13911.99,388.01,14300.0,2022-23,3944908.67,0.36
Electronics & IT,16180.36,368.68,16549.04,2023-24,4503097.45,0.37
Electronics & IT,21355.89,581.01,21936.9,2024-25,4820512.08,0.46
Electronics & IT,25583.11,443.14,26026.25,2025-26,5065345.04,0.51
Electronics & IT,21234.15,398.81,21632.96,2026-27,5347314.81,0.4
"Environment, Forests & CC",2635.39,40.03,2675.42,2017-18,2146734.78,0.12
"Environment, Forests & CC",2586.67,88.75,2675.42,2018-19,2442213.3,0.11
"Environment, Forests & CC",2890.2,64.52,2954.72,2019-20,2786349.45,0.11
