Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
Railways,3445.18,252000.0,255445.18,2025-26,5065345.04,5.04
Railways,3547.32,277830.0,281377.32,2026-27,5347314.81,5.26
Road Transport & Highways,10723.17,54176.83,64900.0,2017-18,2146734.78,3.02
Road Transport & Highways,11559.75,59440.25,71000.0,2018-19,2442213.3,2.91
Road Transport & Highways,10957.39,72058.58,83015.97,2019-20,2786349.45,2.98
Road Transport & Highways,9848.51,81974.71,91823.22,2020-21,3042230.09,3.02
Road Transport & Highways,9870.89,108230.11,118101.0,2021-22,3483235.63,3.39
Road Transport & Highways,11363.71,187744.0,199107.71,2022-23,3944908.67,5.05
Road Transport & Highways,11829.18,258605.53,270434.71,2023-24,4503097.45,6.01
Road Transport & Highways,5758.85,272241.15,278000.0,2024-25,4820512.08,5.77
Road Transport & Highways,15092.01,272241.15,287333.16,2025-26,5065345.04,5.67
Road Transport & Highways,15707.85,294167.45,309875.3,2026-27,5347314.81,5.79
Rural Development,107752.99,5.25,107758.24,2017-18,2146734.78,5.02
Rural Development,114910.07,5.25,114915.32,2018-19,2442213.3,4.71
Rural Development,119774.43,100.0,119874.43,2019-20,2786349.45,4.3
Rural Development,122298.43,100.0,122398.43,2020-21,3042230.09,4.02
Rural Development,133689.5,0.0,133689.5,2021-22,3483235.63,3.84
Rural Development,138203.63,0.0,138203.63,2022-23,3944908.67,3.5
Rural Development,159959.45,4.78,159964.23,2023-24,4503097.45,3.55
Rural Development,180228.28,5.15,180233.43,2024-25,4820512.08,3.74
Rural Development,190400.28,5.25,190405.53,2025-26,5065345.04,3.76
Rural Development,197017.51,5.63,197023.14,2026-27,5347314.81,3.68
Science & Technology,11463.04,22.34,11485.38,2017-18,2146734.78,0.54
Science & Technology,12245.78,76.5,12322.28,2018-19,2442213.3,0.5
Science & Technology,12956.59,99.65,13056.24,2019-20,2786349.45,0.47
Science & Technology,14362.49,110.8,14473.29,2020-21,3042230.09,0.48
Science & Technology,14649.88,144.15,14794.03,2021-22,3483235.63,0.42
Science & Technology,14122.26,95.2,14217.46,2022-23,3944908.67,0.36
Science & Technology,16263.66,97.76,16361.42,2023-24,4503097.45,0.36
Science & Technology,16561.92,66.2,16628.12,2024-25,4820512.08,0.34
Science & Technology,18515.86,20097.46,38613.32,2025-26,5065345.04,0.76
Science & Technology,18170.23,20090.71,38260.94,2026-27,5347314.81,0.72
Shipping/Ports,1388.84,384.16,1773.0,2017-18,2146734.78,0.08
Shipping/Ports,1519.47,361.66,1881.13,2018-19,2442213.3,0.08
Shipping/Ports,1635.99,266.57,1902.56,2019-20,2786349.45,0.07
Shipping/Ports,1715.0,85.0,1800.0,2020-21,3042230.09,0.06
Shipping/Ports,1519.35,183.0,1702.35,2021-22,3483235.63,0.05
Shipping/Ports,1135.19,574.31,1709.5,2022-23,3944908.67,0.04
Shipping/Ports,1150.53,1068.21,2218.74,2023-24,4503097.45,0.05
Shipping/Ports,1299.56,1077.93,2377.49,2024-25,4820512.08,0.05
Shipping/Ports,1709.23,1761.35,3470.58,2025-26,5065345.04,0.07
Shipping/Ports,3964.88,1199.92,5164.8,2026-27,5347314.81,0.1
Skill Development,2766.11,250.03,3016.14,2017-18,2146734.78,0.14
Skill Development,3141.0,259.0,3400.0,2018-19,2442213.3,0.14
Skill Development,2926.11,63.1,2989.21,2019-20,2786349.45,0.11
Skill Development,2923.03,79.18,3002.21,2020-21,3042230.09,0.1
Skill Development,2711.53,73.7,2785.23,2021-22,3483235.63,0.08
Skill Development,2847.54,151.46,2999.0,2022-23,3944908.67,0.08
Skill Development,3418.07,99.24,3517.31,2023-24,4503097.45,0.08
Skill Development,4409.63,110.37,4520.0,2024-25,4820512.08,0.09
Skill Development,6017.04,83.06,6100.1,2025-26,5065345.04,0.12
Skill Development,9759.51,126.29,9885.8,2026-27,5347314.81,0.18
Social Justice & Empowerment,7412.04,350.96,7763.0,2017-18,2146734.78,0.36
Social Justice & Empowerment,8374.12,445.88,8820.0,2018-19,2442213.3,0.36
Social Justice & Empowerment,9593.68,496.22,10089.9,2019-20,2786349.45,0.36
Social Justice & Empowerment,10882.95,546.01,11428.96,2020-21,3042230.09,0.38
Social Justice & Empowerment,11319.38,370.01,11689.39,2021-22,3483235.63,0.34
Social Justice & Empowerment,12899.92,235.01,13134.93,2022-23,3944908.67,0.33
Social Justice & Empowerment,13931.06,141.11,14072.17,2023-24,4503097.45,0.31
Social Justice & Empowerment,14163.23,62.24,14225.47,2024-25,4820512.08,0.3
Social Justice & Empowerment,14873.22,12.78,14886.0,2025-26,5065345.04,0.29
Social Justice & Empowerment,15346.37,10.94,15357.31,2026-27,5347314.81,0.29
Space,4938.33,4155.38,9093.71,2017-18,2146734.78,0.42
Space,5496.18,5287.24,10783.42,2018-19,2442213.3,0.44
Space,5874.72,6598.54,12473.26,2019-20,2786349.45,0.45
Space,5704.2,7775.27,13479.47,2020-21,3042230.09,0.44
Space,5720.46,8228.63,13949.09,2021-22,3483235.63,0.4
Space,6234.4,7465.6,13700.0,2022-23,3944908.67,0.35
Space,6187.1,6356.81,12543.91,2023-24,4503097.45,0.28
Space,7475.22,5567.53,13042.75,2024-25,4820512.08,0.27
Space,7312.57,6103.63,13416.2,2025-26,5065345.04,0.26
Space,7329.71,6375.92,13705.63,2026-27,5347314.81,0.26
Statistics & PI,4767.49,28.25,4795.74,2017-18,2146734.78,0.22
Statistics & PI,4844.0,15.0,4859.0,2018-19,2442213.3,0.2
Statistics & PI,5216.33,14.73,5231.06,2019-20,2786349.45,0.19
Statistics & PI,5426.05,17.95,5444.0,2020-21,3042230.09,0.18
Statistics & PI,1396.09,13.04,1409.13,2021-22,3483235.63,0.04
Statistics & PI,5378.08,20.0,5398.08,2022-23,3944908.67,0.14
Statistics & PI,5409.92,33.48,5443.4,2023-24,4503097.45,0.12
Statistics & PI,5408.85,44.98,5453.83,2024-25,4820512.08,0.11
Statistics & PI,5426.19,44.87,5471.06,2025-26,5065345.04,0.11
Statistics & PI,5457.75,45.14,5502.89,2026-27,5347314.81,0.1
Steel,44.14,0.0,44.14,2017-18,2146734.78,0.0
Steel,47.9,0.0,47.9,2018-19,2442213.3,0.0
Steel,241.29,0.0,241.29,2019-20,2786349.45,0.01
Steel,100.0,0.0,100.0,2020-21,3042230.09,0.0
Steel,39.25,0.0,39.25,2021-22,3483235.63,0.0
Steel,47.0,0.0,47.0,2022-23,3944908.67,0.0
Steel,67.98,2.17,70.15,2023-24,4503097.45,0.0
Steel,324.19,1.47,325.66,2024-25,4820512.08,0.01
Steel,364.22,2997.78,3362.0,2025-26,5065345.04,0.07
Steel,439.84,3.34,443.18,2026-27,5347314.81,0.01
Textiles,6190.98,35.52,6226.5,2017-18,2146734.78,0.29
Textiles,7109.84,37.89,7147.73,2018-19,2442213.3,0.29
Textiles,4800.57,30.91,4831.48,2019-20,2786349.45,0.17
Textiles,3463.76,51.03,3514.79,2020-21,3042230.09,0.12
Textiles,3591.61,40.03,3631.64,2021-22,3483235.63,0.1
Textiles,12357.11,25.03,12382.14,2022-23,3944908.67,0.31
Textiles,4362.53,26.81,4389.34,2023-24,4503097.45,0.1
Textiles,4373.38,43.65,4417.03,2024-25,4820512.08,0.09
Textiles,5252.89,19.11,5272.0,2025-26,5065345.04,0.1
Textiles,5269.52,9.49,5279.01,2026-27,5347314.81,0.1
Tourism,1839.69,1.08,1840.77,2017-18,2146734.78,0.09
Tourism,2149.99,0.01,2150.0,2018-19,2442213.3,0.09
Tourism,2189.21,0.01,2189.22,2019-20,2786349.45,0.08
Tourism,2499.83,0.0,2499.83,2020-21,3042230.09,0.08
Tourism,2026.77,0.0,2026.77,2021-22,3483235.63,0.06
Tourism,2400.0,0.0,2400.0,2022-23,3944908.67,0.06
Tourism,2400.0,0.0,2400.0,2023-24,4503097.45,0.05
Tourism,2477.85,1.77,2479.62,2024-25,4820512.08,0.05
Tourism,2534.93,6.13,2541.06,2025-26,5065345.04,0.05
Tourism,2433.87,4.53,2438.4,2026-27,5347314.81,0.05
Tribal Affairs,5269.32,60.0,5329.32,2017-18,2146734.78,0.25
Tribal Affairs,5935.0,65.0,6000.0,2018-19,2442213.3,0.25
Tribal Affairs,6814.96,80.0,6894.96,2019-20,2786349.45,0.25
Tribal Affairs,7260.99,150.01,7411.0,2020-21,3042230.09,0.24
Tribal Affairs,7524.85,0.02,7524.87,2021-22,3483235.63,0.22
Tribal Affairs,8401.92,50.0,8451.92,2022-23,3944908.67,0.21
Tribal Affairs,12414.95,46.93,12461.88,2023-24,4503097.45,0.28
Tribal Affairs,12968.17,31.83,13000.0,2024-25,4820512.08,0.27
Tribal Affairs,14894.08,31.73,14925.81,2025-26,5065345.04,0.29
Tribal Affairs,15389.54,32.43,15421.97,2026-27,5347314.81,0.29
Urban Development/Housing,14879.48,19332.36,34211.84,2017-18,2146734.78,1.59
Women & Child Development,22056.02,38.65,22094.67,2017-18,2146734.78,1.03
Women & Child Development,24699.99,0.01,24700.0,2018-19,2442213.3,1.01
Women & Child Development,29164.89,0.01,29164.9,2019-20,2786349.45,1.05
Women & Child Development,30007.09,0.01,30007.1,2020-21,3042230.09,0.99
Women & Child Development,24430.0,5.0,24435.0,2021-22,3483235.63,0.7
Women & Child Development,25170.28,2.0,25172.28,2022-23,3944908.67,0.64
Women & Child Development,25443.67,5.08,25448.75,2023-24,4503097.45,0.57
Women & Child Development,26088.81,3.38,26092.19,2024-25,4820512.08,0.54
Women & Child Development,26884.99,4.7,26889.69,2025-26,5065345.04,0.53
Women & Child Development,28177.42,5.64,28183.06,2026-27,5347314.81,0.53
Youth Affairs & Sports,1888.46,54.75,1943.21,2017-18,2146734.78,0.09
Youth Affairs & Sports,2138.31,58.04,2196.35,2018-19,2442213.3,0.09
Youth Affairs & Sports,2181.9,35.02,2216.92,2019-20,2786349.45,0.08
Youth Affairs & Sports,2775.9,51.02,2826.92,2020-21,3042230.09,0.09
Youth Affairs & Sports,2549.41,46.73,2596.14,2021-22,3483235.63,0.07
Youth Affairs & Sports,3057.28,5.32,3062.6,2022-23,3944908.67,0.08
Youth Affairs & Sports,3389.56,7.76,3397.32,2023-24,4503097.45,0.08
Youth Affairs & Sports,3435.85,6.47,3442.32,2024-25,4820512.08,0.07
Youth Affairs & Sports,3788.49,5.81,3794.3,2025-26,5065345.04,0.07
Youth Affairs & Sports,4461.51,18.37,4479.88,2026-27,5347314.81,0.08
